Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
14182;25_1_1_4;balie;Newbouldia;laevis;Bignoniaceae;25;1;1701,6;213,9
14183;25_1_1_5;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1703,8;213,5
14184;25_1_1_6;cedrela;Cedrela;odorata;Meliaceae;25;1;1707,06;212,1
14185;25_1_1_7;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1703,27;218,22
14186;25_1_1_8;lotofa;Sterculia;rhinopetala;Malvaceae;25;1;1718,16;212,84
14187;25_1_1_9;bi;Eribroma;oblongum;Malvaceae;25;1;1714,67;203,23
14188;25_1_10_1;asan;Celtis;zenkeri;Cannabaceae;25;1;1731,55;215,6
14189;25_1_10_10;loloti;Lannea;welwitschii;Anacardiaceae;25;1;1725,9;204,32
14190;25_1_10_11;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1728,67;201,9
14191;25_1_10_12;bete;Mansonia;altissima;Malvaceae;25;1;1738,47;201,76
14192;25_1_10_2;lotofa;Sterculia;rhinopetala;Malvaceae;25;1;1730,5;211,6
14193;25_1_10_3;fromager;Ceiba;pentandra;Malvaceae;25;1;1729,44;211,2
14194;25_1_10_4;bi;Eribroma;oblongum;Malvaceae;25;1;1728,37;213,5
14195;25_1_10_5;asan;Celtis;zenkeri;Cannabaceae;25;1;1726,64;217,2
14196;25_1_10_6;ba;Celtis;mildbraedii;Cannabaceae;25;1;1722,45;212,8
14197;25_1_10_7;bi;Eribroma;oblongum;Malvaceae;25;1;1721,35;211,96
14198;25_1_10_8;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1722,35;206,6
14199;25_1_10_9;lohonfe;Celtis;adolphi-fridericii;Cannabaceae;25;1;1724,6;207,5
14200;25_1_11_1;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1743,75;201,2
14201;25_1_11_2;lotofa;Sterculia;rhinopetala;Malvaceae;25;1;1742,86;203,95
14202;25_1_11_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1741,97;205,62
14203;25_1_11_4;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1757,23;207,74
14204;25_1_11_5;cedrela;Cedrela;odorata;Meliaceae;25;1;1759,8;204,14
14205;25_1_11_6;asan;Celtis;zenkeri;Cannabaceae;25;1;1753,24;217,8
14206;25_1_11_7;keremon;Majidea;fosteri;Sapindaceae;25;1;1741,35;215,4
14207;25_1_12_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1743,2;223,15
14208;25_1_12_2;poe;Strombosia;pustulata;Olacaceae;25;1;1740,1;226,43
14209;25_1_12_3;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1745,4;231,5
14210;25_1_12_4;cedrela;Cedrela;odorata;Meliaceae;25;1;1760;231,71
14211;25_1_13_1;fara;Stereospermum;acuminatissimum;Bignoniaceae;25;1;1757,8;240,1
14212;25_1_13_10;asamoiake;Trichilia;prieuriana;Meliaceae;25;1;1751,15;247,7
14213;25_1_13_11;tuibesso;Baphia;bancoensis;Fabaceae;25;1;1752,45;242,6
14214;25_1_13_12;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1752,53;244,3
14215;25_1_13_13;ba;Celtis;mildbraedii;Cannabaceae;25;1;1749,28;244,45
14216;25_1_13_14;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1744,43;244,7
14217;25_1_13_15;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1740,5;246,66
14218;25_1_13_16;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1744,43;247,8
14219;25_1_13_17;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1748,81;241,1
14220;25_1_13_18;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1750,81;240,06
14221;25_1_13_19;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1747,95;255,2
14222;25_1_13_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1760;246,58
14223;25_1_13_20;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1749,34;260
14224;25_1_13_21;bete;Mansonia;altissima;Malvaceae;25;1;1756;260
14225;25_1_13_22;haratou;Crudia;klainei;Fabaceae;25;1;1753,4;260
14226;25_1_13_23;cedrela;Cedrela;odorata;Meliaceae;25;1;1751,7;260
14227;25_1_13_24;cedrela;Cedrela;odorata;Meliaceae;25;1;1745,74;260
14228;25_1_13_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1760;245,44
14229;25_1_13_4;asan;Celtis;zenkeri;Cannabaceae;25;1;1760;249
14230;25_1_13_5;bete;Mansonia;altissima;Malvaceae;25;1;1758,49;246,6
14231;25_1_13_6;piero;Ongokea;gore;Olacaceae;25;1;1756,32;247,75
14232;25_1_13_7;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1756,31;253,09
14233;25_1_13_8;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1751,6;250,7
14234;25_1_13_9;asan;Celtis;zenkeri;Cannabaceae;25;1;1751,4;248,8
14235;25_1_14_1;ouara.grand;Cola;gigantea;Malvaceae;25;1;1754,25;263,2
14236;25_1_14_2;ba;Celtis;mildbraedii;Cannabaceae;25;1;1756,3;263,2
14237;25_1_14_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1750,53;264,5
14238;25_1_14_4;asan;Celtis;zenkeri;Cannabaceae;25;1;1751,28;270,2
14239;25_1_14_5;ba;Celtis;mildbraedii;Cannabaceae;25;1;1743,2;277,5
14240;25_1_14_6;acajou.blanc;Khaya;anthotheca;Meliaceae;25;1;1749,97;272,05
14241;25_1_14_7;lohonfe;Celtis;adolphi-fridericii;Cannabaceae;25;1;1751,8;278,8
14242;25_1_15_10;cedrela;Cedrela;odorata;Meliaceae;25;1;1759,7;295,85
14243;25_1_15_11;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1742,2;296
14244;25_1_15_2;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1753,86;283,7
14245;25_1_15_3;difou;Morus;mesozygia;Moraceae;25;1;1749,1;287,6
14246;25_1_15_4;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1746,77;284,22
14247;25_1_15_5;lotofa;Sterculia;rhinopetala;Malvaceae;25;1;1746,08;282,34
14248;25_1_15_6;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1744,6;292,23
14249;25_1_15_7;ba;Celtis;mildbraedii;Cannabaceae;25;1;1743,65;296,8
14250;25_1_15_8;okoue;Baphia;nitida;Fabaceae;25;1;1752,5;296,97
14251;25_1_15_9;baouefou;Polyalthia;oliveri;Annonaceae;25;1;1755,74;293
14252;25_1_16_1;aboudikro;Entandrophragma;cylindricum;Meliaceae;25;1;1760,57;295,8
14253;25_1_16_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1766,35;283,8
14254;25_1_16_3;bete;Mansonia;altissima;Malvaceae;25;1;1772,83;280,57
14255;25_1_16_4;bete;Mansonia;altissima;Malvaceae;25;1;1775,07;284,8
14256;25_1_16_5;cedrela;Cedrela;odorata;Meliaceae;25;1;1780;292
14257;25_1_16_6;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1769,66;291,4
14258;25_1_17_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1764,67;277,04
14259;25_1_17_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1762,65;274,24
14260;25_1_17_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1761,5;272,84
14261;25_1_17_4;pepe_angrouafou;Ficus;variifolia;Moraceae;25;1;1773;267,6
14262;25_1_18_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1780;260
14263;25_1_18_2;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1765,25;259,5
14264;25_1_18_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1766,46;260
14265;25_1_18_4;cedrela;Cedrela;odorata;Meliaceae;25;1;1768,5;260
14266;25_1_18_5;fara;Stereospermum;acuminatissimum;Bignoniaceae;25;1;1762,75;244,4
14267;25_1_18_6;cedrela;Cedrela;odorata;Meliaceae;25;1;1768,53;246,75
14268;25_1_18_8;cedrela;Cedrela;odorata;Meliaceae;25;1;1779,75;240,7
14269;25_1_19_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1765,08;230,1
14270;25_1_19_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1765,15;235
14271;25_1_19_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1767,83;234,15
14272;25_1_19_4;cedrela;Cedrela;odorata;Meliaceae;25;1;1760,96;225,92
14273;25_1_2_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1714,6;223,5
14274;25_1_2_2;bi;Eribroma;oblongum;Malvaceae;25;1;1713,84;229,3
14275;25_1_2_3;paintou;Vitex;ferruginea;Lamiaceae;25;1;1706,13;223,1
14276;25_1_2_4;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1703,66;221
14277;25_1_2_5;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1701;223,2
14278;25_1_2_7;bi;Eribroma;oblongum;Malvaceae;25;1;1702,52;233,94
14279;25_1_20_1;tulipier.du.gabon;Spathodea;campanulata;Bignoniaceae;25;1;1761,15;218
